time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-21 14:00:00,30.0,47,0.1,20.6
2026-08-21 15:00:00,29.5,49,0.1,20.7
2026-08-21 16:00:00,28.3,53,0.1,21.1
2026-08-21 17:00:00,27.0,58,0.1,21.0
2026-08-21 18:00:00,25.5,66,0.0,19.9
2026-08-21 19:00:00,23.8,75,0.0,18.4
2026-08-21 20:00:00,22.5,84,0.0,17.1
2026-08-21 21:00:00,21.6,89,0.0,16.3
2026-08-21 22:00:00,21.1,91,0.0,15.8
2026-08-21 23:00:00,20.8,92,0.0,15.5
2026-08-22 00:00:00,20.6,93,0.0,15.5
2026-08-22 01:00:00,20.6,93,0.0,15.6
2026-08-22 02:00:00,20.6,93,0.0,15.7
2026-08-22 03:00:00,20.6,93,0.0,15.5
2026-08-22 04:00:00,20.6,93,0.0,15.5
2026-08-22 05:00:00,20.8,91,0.0,15.7
2026-08-22 06:00:00,21.5,87,0.0,17.0
2026-08-22 07:00:00,22.5,81,0.0,19.0
2026-08-22 08:00:00,23.5,75,0.0,20.3
2026-08-22 09:00:00,24.7,69,0.0,20.6
2026-08-22 10:00:00,25.9,63,0.0,20.3
2026-08-22 11:00:00,26.9,59,0.0,20.3
2026-08-22 12:00:00,27.5,57,0.3,20.6
2026-08-22 13:00:00,27.9,57,0.3,21.0
2026-08-22 14:00:00,27.9,57,0.3,21.4
2026-08-22 15:00:00,27.4,59,0.4,22.0
2026-08-22 16:00:00,26.6,63,0.4,22.7
2026-08-22 17:00:00,25.6,68,0.4,22.5
2026-08-22 18:00:00,24.4,74,0.0,21.1
2026-08-22 19:00:00,23.0,80,0.0,18.9
2026-08-22 20:00:00,21.9,86,0.0,17.2
2026-08-22 21:00:00,21.4,88,0.0,16.2
2026-08-22 22:00:00,21.2,90,0.0,15.4
2026-08-22 23:00:00,21.1,90,0.0,15.2
2026-08-23 00:00:00,21.1,90,0.0,15.3
2026-08-23 01:00:00,21.3,89,0.0,15.7
2026-08-23 02:00:00,21.3,89,0.0,16.1
2026-08-23 03:00:00,21.2,90,0.0,15.7
2026-08-23 04:00:00,21.0,91,0.0,16.0
2026-08-23 05:00:00,21.1,90,0.0,16.3
2026-08-23 06:00:00,21.7,87,0.0,16.6
2026-08-23 07:00:00,22.6,82,0.0,17.2
2026-08-23 08:00:00,23.7,76,0.0,17.9
2026-08-23 09:00:00,25.1,70,0.0,18.6
2026-08-23 10:00:00,26.5,64,0.0,19.1
2026-08-23 11:00:00,27.6,60,0.0,19.6
2026-08-23 12:00:00,27.8,60,0.7,20.0
2026-08-23 13:00:00,27.5,62,0.7,20.6
2026-08-23 14:00:00,26.9,65,0.7,20.8
2026-08-23 15:00:00,26.2,70,0.7,21.1
2026-08-23 16:00:00,25.4,74,0.7,21.2
2026-08-23 17:00:00,24.8,77,0.7,21.1
2026-08-23 18:00:00,24.2,80,0.0,20.7
2026-08-23 19:00:00,23.6,83,0.0,19.8
2026-08-23 20:00:00,23.0,85,0.0,18.8
2026-08-23 21:00:00,22.4,88,0.0,17.7
2026-08-23 22:00:00,21.8,90,0.0,16.8
2026-08-23 23:00:00,21.5,91,0.0,16.1
